"rt","correct","stimulus","key_press","keys","symptoms_shuffle","symptom1","symptom2","symptom3","key","category","phase","trial","include","block","trial_type","trial_index","time_elapsed","internal_node_id","ppt","session","abresp"
"3373","false","hexagon,triangle,circle","32","81,80","circle,diamond,triangle,square,hexagon","E","C","A","80","rare","training","1","true","1","categorize-html","4","115727","0.0-4.0-0.0","24250","202302318","none"
"3670","false","square,circle,diamond","32","81,80","circle,diamond,triangle,square,hexagon","D","A","B","81","common","training","2","true","1","categorize-html","6","120413","0.0-4.0-2.0","24250","202302318","none"
"3549","false","square,diamond,circle","32","81,80","circle,diamond,triangle,square,hexagon","D","B","A","81","common","training","3","true","1","categorize-html","8","124967","0.0-4.0-4.0","24250","202302318","none"
"3238.000000000029","false","circle,diamond,square","32","81,80","circle,diamond,triangle,square,hexagon","A","B","D","81","common","training","4","true","1","categorize-html","10","129207","0.0-4.0-6.0","24250","202302318","none"
"1686","false","diamond,circle,square","32","81,80","circle,diamond,triangle,square,hexagon","B","A","D","81","common","training","5","true","1","categorize-html","12","131896","0.0-4.0-8.0","24250","202302318","none"
"null","false","diamond,square,circle","null","81,80","circle,diamond,triangle,square,hexagon","B","D","A","81","common","training","6","true","1","categorize-html","14","137900","0.0-4.0-10.0","24250","202302318","none"
"1798","false","square,circle,diamond","32","81,80","circle,diamond,triangle,square,hexagon","D","A","B","81","common","training","7","true","1","categorize-html","16","140701","0.0-4.0-12.0","24250","202302318","none"
"2570","false","circle,triangle,hexagon","32","81,80","circle,diamond,triangle,square,hexagon","A","C","E","80","rare","training","8","true","1","categorize-html","18","144273","0.0-4.0-14.0","24250","202302318","none"
"1613","false","circle,diamond,square","32","81,80","circle,diamond,triangle,square,hexagon","A","B","D","81","common","training","9","true","1","categorize-html","20","146890","0.0-4.0-16.0","24250","202302318","none"
"1756","false","square,diamond,circle","32","81,80","circle,diamond,triangle,square,hexagon","D","B","A","81","common","training","10","true","1","categorize-html","22","149650","0.0-4.0-18.0","24250","202302318","none"
"2096.000000000029","false","square,diamond,circle","32","81,80","circle,diamond,triangle,square,hexagon","D","B","A","81","common","training","11","true","1","categorize-html","24","152750","0.0-4.0-20.0","24250","202302318","none"
"1553","false","hexagon,circle,triangle","32","81,80","circle,diamond,triangle,square,hexagon","E","A","C","80","rare","training","12","true","1","categorize-html","26","155308","0.0-4.0-22.0","24250","202302318","none"
"1392","false","circle,square,diamond","32","81,80","circle,diamond,triangle,square,hexagon","A","D","B","81","common","training","13","true","1","categorize-html","28","157704","0.0-4.0-24.0","24250","202302318","none"
