"rt","correct","stimulus","key_press","keys","symptoms_shuffle","symptom1","symptom2","symptom3","key","category","phase","trial","include","block","trial_type","trial_index","time_elapsed","internal_node_id","ppt","session","abresp"
"null","false","hexagon,square,diamond","null","80,81","square,hexagon,circle,diamond,triangle","B","A","D","80","common","training","1","true","1","categorize-html","4","40057","0.0-4.0-0.0","24351","2022468","none"
"2772.2999999523163","false","square,diamond,hexagon","32","80,81","square,hexagon,circle,diamond,triangle","A","D","B","80","common","training","2","true","1","categorize-html","6","43857","0.0-4.0-2.0","24351","2022468","none"
"2302.800000190735","false","triangle,circle,square","32","80,81","square,hexagon,circle,diamond,triangle","E","C","A","81","rare","training","3","true","1","categorize-html","8","47177","0.0-4.0-4.0","24351","2022468","none"
"3117.5","false","hexagon,square,diamond","32","80,81","square,hexagon,circle,diamond,triangle","B","A","D","80","common","training","4","true","1","categorize-html","10","51318","0.0-4.0-6.0","24351","2022468","none"
"3029.5","false","square,diamond,hexagon","32","80,81","square,hexagon,circle,diamond,triangle","A","D","B","80","common","training","5","true","1","categorize-html","12","55369","0.0-4.0-8.0","24351","2022468","none"
"3588.600000143051","false","square,hexagon,diamond","32","80,81","square,hexagon,circle,diamond,triangle","A","B","D","80","common","training","6","true","1","categorize-html","14","59986","0.0-4.0-10.0","24351","2022468","none"
"1933.7999999523163","false","triangle,square,circle","32","80,81","square,hexagon,circle,diamond,triangle","E","A","C","81","rare","training","7","true","1","categorize-html","16","62948","0.0-4.0-12.0","24351","2022468","none"
"2100.2000000476837","false","diamond,square,hexagon","32","80,81","square,hexagon,circle,diamond,triangle","D","A","B","80","common","training","8","true","1","categorize-html","18","66070","0.0-4.0-14.0","24351","2022468","none"
"1813.0999999046326","false","hexagon,square,diamond","32","80,81","square,hexagon,circle,diamond,triangle","B","A","D","80","common","training","9","true","1","categorize-html","20","68909","0.0-4.0-16.0","24351","2022468","none"
"2296.2999999523163","false","square,triangle,circle","32","80,81","square,hexagon,circle,diamond,triangle","A","E","C","81","rare","training","10","true","1","categorize-html","22","72235","0.0-4.0-18.0","24351","2022468","none"
"1429","false","square,diamond,hexagon","32","80,81","square,hexagon,circle,diamond,triangle","A","D","B","80","common","training","11","true","1","categorize-html","24","74687","0.0-4.0-20.0","24351","2022468","none"
"1176.3999998569489","false","square,hexagon,diamond","32","80,81","square,hexagon,circle,diamond,triangle","A","B","D","80","common","training","12","true","1","categorize-html","26","76870","0.0-4.0-22.0","24351","2022468","none"
"2121.5","false","hexagon,diamond,square","32","80,81","square,hexagon,circle,diamond,triangle","B","D","A","80","common","training","13","true","1","categorize-html","28","80002","0.0-4.0-24.0","24351","2022468","none"
"1595.6000001430511","false","square,hexagon,diamond","32","80,81","square,hexagon,circle,diamond,triangle","A","B","D","80","common","training","14","true","1","categorize-html","30","82616","0.0-4.0-26.0","24351","2022468","none"
"1350.2999999523163","false","diamond,square,hexagon","32","80,81","square,hexagon,circle,diamond,triangle","D","A","B","80","common","training","15","true","1","categorize-html","32","84996","0.0-4.0-28.0","24351","2022468","none"
"2577.5","false","diamond,hexagon,square","32","80,81","square,hexagon,circle,diamond,triangle","D","B","A","80","common","training","16","true","1","categorize-html","34","88603","0.0-4.0-30.0","24351","2022468","none"
"1730.8999998569489","false","diamond,square,hexagon","32","80,81","square,hexagon,circle,diamond,triangle","D","A","B","80","common","training","17","true","1","categorize-html","36","91364","0.0-4.0-32.0","24351","2022468","none"
"1935.5999999046326","false","hexagon,diamond,square","32","80,81","square,hexagon,circle,diamond,triangle","B","D","A","80","common","training","18","true","1","categorize-html","38","94322","0.0-4.0-34.0","24351","2022468","none"
"1097.7000000476837","false","circle,square,triangle","32","80,81","square,hexagon,circle,diamond,triangle","C","A","E","81","rare","training","19","true","1","categorize-html","40","96437","0.0-4.0-36.0","24351","2022468","none"
"2382.7000000476837","false","hexagon,diamond,square","32","80,81","square,hexagon,circle,diamond,triangle","B","D","A","80","common","training","20","true","1","categorize-html","42","99850","0.0-4.0-38.0","24351","2022468","none"
"2045.5999999046326","false","square,circle,triangle","32","80,81","square,hexagon,circle,diamond,triangle","A","C","E","81","rare","training","21","true","1","categorize-html","44","102925","0.0-4.0-40.0","24351","2022468","none"
"1897.7000000476837","false","circle,triangle,square","32","80,81","square,hexagon,circle,diamond,triangle","C","E","A","81","rare","training","22","true","1","categorize-html","46","105852","0.0-4.0-42.0","24351","2022468","none"
"4024","false","diamond,hexagon,square","32","80,81","square,hexagon,circle,diamond,triangle","D","B","A","80","common","training","23","true","1","categorize-html","48","110909","0.0-4.0-44.0","24351","2022468","none"
"1955.8999998569489","false","diamond,hexagon,square","32","80,81","square,hexagon,circle,diamond,triangle","D","B","A","80","common","training","24","true","1","categorize-html","50","113881","0.0-4.0-46.0","24351","2022468","none"
"5690.700000047684","false","hexagon,square","80","80,81","square,hexagon,circle,diamond,triangle","B","A","","","","test","1","true","1","categorize-html","54","156994","0.0-6.0-0.0","24351","2022468","common"
"1077.7999999523163","false","square,circle","81","80,81","square,hexagon,circle,diamond,triangle","A","C","","","","test","2","true","1","categorize-html","56","159591","0.0-6.0-2.0","24351","2022468","rare"
